method,query_idx,query_name,status,top1_acc_at_0_1,top1_cosine,top1_legacy_module_jaccard,top1_module,top1_name,top1_norm_l2,top1_recall,top1_switch_accuracy,top1_switch_f1,top1_switch_precision,top1_switch_recall
Wav2Vec_RP4096,656,UK Garage Wave,ok,0.5625,0.8244370426590695,0.6666666666666666,0.6666666666666666,Jittery Synth,0.26140874221783955,0.6,0.6666666666666666,0.8,0.6666666666666666,1.0
Wav2Vec_RP4096,1048,Power Pop Hazy,ok,0.7045454545454546,0.9000703222898593,0.8333333333333334,0.8333333333333334,Techno Industrial Neon,0.1942787510116169,0.6666666666666666,0.8888888888888888,0.9090909090909091,0.8333333333333334,1.0
Wav2Vec_RP4096,504,Sub-Bass Drone,ok,0.6111111111111112,0.766037596166555,0.5555555555555556,0.5555555555555556,Dark Ambient Drone Flux,0.31958424624585585,0.48484848484848486,0.5555555555555556,0.7142857142857143,0.8333333333333334,0.625
Wav2Vec_RP4096,461,Power Ballad,ok,0.8205128205128205,0.970527276133143,1.0,1.0,Oriental Synth,0.11349819236078491,0.7941176470588235,1.0,1.0,1.0,1.0
Wav2Vec_RP4096,281,2-Step Garage,ok,0.6226415094339622,0.7882992614787445,0.5555555555555556,0.5555555555555556,Soul Clap Motown,0.25562901557772566,0.5277777777777778,0.5555555555555556,0.7142857142857143,1.0,0.5555555555555556
Wav2Vec_RP4096,593,Trap Metal Pulse,ok,0.5,0.7639527836681582,0.6666666666666666,0.6666666666666666,Sophisti-Pop,0.3043119520938581,0.5,0.6666666666666666,0.8,0.6666666666666666,1.0
Wav2Vec_RP4096,429,Neo-Classical Metal,ok,0.6226415094339622,0.7894027335735934,0.5555555555555556,0.5555555555555556,Indie Pop Jangle Charm,0.2558223279673292,0.5277777777777778,0.5555555555555556,0.7142857142857143,1.0,0.5555555555555556
Wav2Vec_RP4096,845,Gypsy Jazz Manouche Crescendo,ok,0.7441860465116279,0.9113190956868208,0.8,0.8,Roots Reggae,0.15461863503359952,0.5833333333333334,0.8888888888888888,0.888888888888889,1.0,0.8
Wav2Vec_RP4096,603,Hyperpop Glitch Cyber,ok,0.7272727272727273,0.945226727931622,0.8333333333333334,0.8333333333333334,Power Pop Radio,0.14518037497659922,0.5714285714285714,0.8888888888888888,0.9090909090909091,1.0,0.8333333333333334
Wav2Vec_RP4096,977,Country Rock Twang Twang,ok,1.0,1.0000000000000002,1.0,1.0,Bluegrass Flatpick Twang,0.0,1.0,1.0,1.0,1.0,1.0
Wav2Vec_RP4096,916,Southern Soul Gospel Soulful,ok,0.8717948717948718,0.9903490927170565,1.0,1.0,Nashville Session Outlaw,0.058785273272340094,0.7916666666666666,1.0,1.0,1.0,1.0
Wav2Vec_RP4096,220,Sega Mauritian,ok,0.631578947368421,0.7870620959568706,0.4444444444444444,0.4444444444444444,Multicultural Fusion,0.24383553052804044,0.6666666666666666,0.4444444444444444,0.6153846153846153,0.4444444444444444,1.0
Wav2Vec_RP4096,869,Free Jazz Avantgarde Crescendo,ok,0.8205128205128205,0.9769269618489432,1.0,1.0,Country Rock Twang Rambler,0.08415175577395723,0.7083333333333334,1.0,1.0,1.0,1.0
Wav2Vec_RP4096,241,Stripped Acoustic,ok,0.6666666666666666,0.7771504244009603,0.3333333333333333,0.3333333333333333,Piano Ballad,0.24246328330483935,0.7727272727272727,0.3333333333333333,0.5,0.3333333333333333,1.0
Wav2Vec_RP4096,831,Complex Jazz Fusion Groove,ok,0.8717948717948718,0.9854137212636469,1.0,1.0,Middle Eastern Moonrise,0.06799606291157127,0.7916666666666666,1.0,1.0,1.0,1.0
Wav2Vec_RP4096,534,Reggae Skank Mystic,ok,0.6037735849056604,0.7484848640053658,0.5555555555555556,0.5555555555555556,Hip Hop Scratch,0.30099958646335145,0.6538461538461539,0.5555555555555556,0.7142857142857143,0.5555555555555556,1.0
Wav2Vec_RP4096,282,3-Chord Punk,ok,0.59375,0.6717329406454883,0.3333333333333333,0.3333333333333333,Britpop Jangle,0.2799205601535176,0.42857142857142855,0.3333333333333333,0.5,1.0,0.3333333333333333
Wav2Vec_RP4096,537,K-Pop Shimmer Sunset,ok,0.5094339622641509,0.8013863815265178,0.5555555555555556,0.5555555555555556,IDM Glitch,0.2555881472549154,0.46153846153846156,0.5555555555555556,0.7142857142857143,0.5555555555555556,1.0
Wav2Vec_RP4096,722,Modular Hybrid Echo,ok,0.5625,0.8340982911569645,0.6666666666666666,0.6666666666666666,Bubblegum Pop,0.28114836241532726,0.5,0.6666666666666666,0.8,0.6666666666666666,1.0
Wav2Vec_RP4096,857,Cool Jazz Blue,ok,0.7407407407407407,0.7346773652997554,0.3333333333333333,0.3333333333333333,Sludge Metal Chaos,0.2652275175473888,0.56,0.5555555555555556,0.5,0.6666666666666666,0.4
Wav2Vec_RP4096,400,Karaoke Pop,ok,0.7692307692307693,0.9875557550113269,1.0,1.0,Sophisti-Pop,0.07574240451126113,0.7352941176470589,1.0,1.0,1.0,1.0
Wav2Vec_RP4096,699,Spectral Freeze Drift,ok,0.5555555555555556,0.7478191200720535,0.5555555555555556,0.5555555555555556,Space Ambient,0.3366708959615608,0.4666666666666667,0.5555555555555556,0.7142857142857143,0.625,0.8333333333333334
Wav2Vec_RP4096,1005,Indie Pop Jangle Radio,ok,1.0,1.0000000000000002,1.0,1.0,Latin Rock Fusion Andean,0.0,1.0,1.0,1.0,1.0,1.0
Wav2Vec_RP4096,849,Acid Jazz Funk Blue,ok,0.8974358974358975,0.9880178385237505,1.0,1.0,Contemporary Jazz Smoky,0.0626569325749138,0.8333333333333334,1.0,1.0,1.0,1.0
Wav2Vec_RP4096,972,Nashville Session Honky,ok,0.5660377358490566,0.7442181965328397,0.5555555555555556,0.5555555555555556,Lofi Study Beats,0.30110899973656535,0.5769230769230769,0.5555555555555556,0.7142857142857143,0.5555555555555556,1.0
Wav2Vec_RP4096,716,Overtone Drone Glitch,ok,0.6274509803921569,0.7221371035660648,0.5,0.5,Spoken Word Jazz,0.3128368677470085,0.42857142857142855,0.6666666666666666,0.6666666666666666,1.0,0.5
Wav2Vec_RP4096,919,Southern Soul Gospel Motown,ok,0.7045454545454546,0.9455497111075029,0.8333333333333334,0.8333333333333334,Drum and Bass Cyber,0.1434981456987746,0.6666666666666666,0.8888888888888888,0.9090909090909091,0.8333333333333334,1.0
Wav2Vec_RP4096,1022,Chamber Pop Indie,ok,0.9487179487179487,0.9948984976377222,1.0,1.0,Motown Soul Soulful,0.03812331684108574,0.9166666666666666,1.0,1.0,1.0,1.0
Wav2Vec_RP4096,862,Cool Jazz Improv,ok,0.7391304347826086,0.8929601728669457,0.6,0.6,Latin Jazz,0.15662247661063772,0.5416666666666666,0.7777777777777778,0.7499999999999999,1.0,0.6
Wav2Vec_RP4096,39,Symphonic Metal,ok,1.0,0.9996084735294392,1.0,1.0,Thrash Metal Scoop,0.011788098888123974,1.0,1.0,1.0,1.0,1.0
Wav2Vec_RP4096,945,Soul Clap Groove,ok,0.5849056603773585,0.7878548744049698,0.5555555555555556,0.5555555555555556,Bassline UK,0.25551086544069695,0.6153846153846154,0.5555555555555556,0.7142857142857143,0.5555555555555556,1.0
Wav2Vec_RP4096,153,Lo-Fi House,ok,0.5757575757575758,0.6924040160264312,0.2222222222222222,0.2222222222222222,Bell Choir Ambient,0.3039907073838034,0.45454545454545453,0.2222222222222222,0.36363636363636365,0.25,0.6666666666666666
